_id,ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
109,2020,1,Gebze Teknik Üniversitesi,21,PENDİK,9
110,2019,1,Yıldız Teknik Üniversitesi,20,ESENYURT,5
111,2019,2,Maltepe Üniversitesi,20,MALTEPE,2
112,2020,1,Burdur Mehmet Akif Ersoy Üniversitesi,21,BAĞCILAR,1
113,2019,1,Fatih Sultan Mehmet Vakıf Üniversitesi,20,ESENLER,2
114,2019,1,İstanbul Arel Üniversitesi,19,BÜYÜKÇEKMECE,1
115,2020,1,Ondokuz Mayıs Üniversitesi,23,BEYOĞLU,1
116,2019,2,Balıkesir Üniversitesi,22,BAĞCILAR,2
117,2020,1,Çanakkale Onsekiz Mart Üniversitesi,21,ZEYTİNBURNU,1
118,2019,2,Sakarya Üniversitesi,23,GAZİOSMANPAŞA,1
119,2019,1,Orta Doğu Teknik Üniversitesi,23,SANCAKTEPE,2
120,2019,2,Sağlık Bilimleri Üniversitesi,21,KARTAL,7
121,2020,1,Beykoz Üniversitesi,20,ARNAVUTKÖY,1
122,2020,1,Siirt Üniversitesi,22,KAĞITHANE,1
123,2019,1,İstanbul Aydın Üniversitesi,20,AVCILAR,1
124,2019,1,İstanbul Üniversitesi,19,SULTANGAZİ,6
125,2019,2,İstanbul Üniversitesi-Cerrahpaşa,21,BÜYÜKÇEKMECE,3
126,2019,1,Sakarya Üniversitesi,26,ÜMRANİYE,1
127,2020,1,Bartın Üniversitesi,20,BÜYÜKÇEKMECE,1
128,2020,1,Uşak Üniversitesi,20,KÜÇÜKÇEKMECE,2
129,2019,1,Muş Alparslan Üniversitesi,20,TUZLA,1
130,2020,1,Kocaeli Üniversitesi,25,ÜSKÜDAR,3
131,2020,1,Sakarya Üniversitesi,19,ATAŞEHİR,5
132,2020,1,Marmara Üniversitesi,24,MALTEPE,16
133,2019,1,Anadolu Üniversitesi,22,KARTAL,1
134,2020,1,Aydın Adnan Menderes,20,ESENLER,1
135,2019,2,Pamukkale Üniversitesi,22,BAĞCILAR,4
136,2020,1,İstanbul Üniversitesi-Cerrahpaşa,24,BAĞCILAR,2
137,2020,1,Malatya Turgut Özal Üniversitesi,21,ÜMRANİYE,1
138,2020,1,Bilecik Şeyh Edebali Üniversitesi,21,BEYOĞLU,1
139,2020,1,Tekirdağ Namık Kemal,24,ÜMRANİYE,1
140,2019,1,Trakya Üniversitesi,19,SİLİVRİ,1
141,2020,1,Yalova Üniversitesi,22,BEYOĞLU,2
142,2019,1,Bartın Üniversitesi,21,GAZİOSMANPAŞA,3
143,2020,1,Fırat Üniversitesi,19,EYÜPSULTAN,1
144,2019,2,Çankırı Karatekin Üniversitesi,20,ESENYURT,1
145,2020,1,İstanbul Üniversitesi-Cerrahpaşa,19,ÜSKÜDAR,2
146,2019,1,İstanbul Üniversitesi,19,BAŞAKŞEHİR,5
147,2020,1,Mimar Sinan Güzel Sanatlar Üniversitesi,23,BAHÇELİEVLER,3
148,2019,2,Sakarya Üniversitesi,19,SİLİVRİ,1
149,2019,2,Bursa Uludağ Üniversitesi,20,ZEYTİNBURNU,2
150,2020,1,Eskişehir Osmangazi Üniversitesi,23,ESENYURT,4
151,2020,1,Ankara Hacı Bayram Veli Üniversitesi,19,BEYLİKDÜZÜ,1
152,2020,1,Marmara Üniversitesi,25,KADIKÖY,4
153,2019,1,İstanbul Teknik Üniversitesi,21,ESENYURT,3
154,2020,1,Konya Teknik Üniversitesi,20,BÜYÜKÇEKMECE,1
155,2019,1,Bursa Uludağ Üniversitesi,20,SULTANGAZİ,4
156,2020,1,Eskişehir Osmangazi Üniversitesi,18,ESENLER,1
157,2019,2,Beykoz Üniversitesi,23,SULTANBEYLİ,1
