_id,ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
17493,2019,1,Amasya Üniversitesi,25,ESENYURT,1
17494,2019,2,Manisa Celâl Bayar Üniversitesi,23,PENDİK,1
17495,2019,2,Akdeniz Üniversitesi,22,GAZİOSMANPAŞA,1
17496,2019,2,Atatürk Üniversitesi,23,AVCILAR,1
17497,2020,1,Dokuz Eylül Üniversitesi,20,KAĞITHANE,1
17498,2019,1,Erzincan Binali Yıldırım Üniversitesi,25,KÜÇÜKÇEKMECE,1
17499,2019,1,Dokuz Eylül Üniversitesi,22,SULTANGAZİ,3
17500,2019,2,İstanbul Teknik Üniversitesi,21,SULTANGAZİ,1
17501,2020,1,Ondokuz Mayıs Üniversitesi,25,SULTANGAZİ,1
17502,2020,1,Kütahya Dumlupınar Üniversitesi,19,KARTAL,1
17503,2020,1,Kocaeli Üniversitesi,18,SULTANGAZİ,2
17504,2019,1,Tokat Gaziosmanpaşa,20,EYÜPSULTAN,1
17505,2020,1,İstanbul Medipol Üniversitesi,22,KÜÇÜKÇEKMECE,2
17506,2020,1,İstanbul Üniversitesi-Cerrahpaşa,23,BEYOĞLU,4
17507,2020,1,Dokuz Eylül Üniversitesi,20,BEYOĞLU,1
17508,2019,2,Burdur Mehmet Akif Ersoy Üniversitesi,21,BAŞAKŞEHİR,1
17509,2020,1,Orta Doğu Teknik Üniversitesi,20,ATAŞEHİR,1
17510,2019,2,Zonguldak Bülent Ecevit Üniversitesi,26,FATİH,1
17511,2020,1,Bahçeşehir Üniversitesi,19,ZEYTİNBURNU,1
17512,2019,1,Erzincan Binali Yıldırım Üniversitesi,22,ÜMRANİYE,1
17513,2020,1,Akdeniz Üniversitesi,20,SULTANGAZİ,3
17514,2019,2,Üsküdar Üniversitesi,23,BAĞCILAR,1
17515,2019,1,Ankara Üniversitesi,21,SULTANGAZİ,2
17516,2019,1,Kütahya Dumlupınar Üniversitesi,21,ESENLER,2
17517,2020,1,Dicle Üniversitesi,22,AVCILAR,1
17518,2019,1,Yıldız Teknik Üniversitesi,23,BAKIRKÖY,1
17519,2019,1,Bilecik Şeyh Edebali Üniversitesi,23,AVCILAR,1
17520,2020,1,Karadeniz Teknik Üniversitesi,20,ÜSKÜDAR,2
17521,2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,20,ÜMRANİYE,9
17522,2020,1,Ege Üniversitesi,20,ÇATALCA,2
17523,2019,1,Çanakkale Onsekiz Mart Üniversitesi,21,ESENLER,2
17524,2019,1,Ordu Üniversitesi,22,BAYRAMPAŞA,1
17525,2020,1,İnönü Üniversitesi,20,KAĞITHANE,1
17526,2020,1,Sakarya Üniversitesi,20,SİLİVRİ,5
17527,2019,2,Marmara Üniversitesi,20,ÜMRANİYE,18
17528,2020,1,Mimar Sinan Güzel Sanatlar Üniversitesi,20,TUZLA,1
17529,2019,1,Trabzon Üniversitesi,23,TUZLA,1
17530,2020,1,Bolu Abant İzzet Baysal Üniversitesi,19,BÜYÜKÇEKMECE,2
17531,2019,1,İstanbul Üniversitesi,20,ESENYURT,15
17532,2019,1,İstanbul Üniversitesi-Cerrahpaşa,24,GÜNGÖREN,2
17533,2019,2,Kocaeli Üniversitesi,25,KÜÇÜKÇEKMECE,1
17534,2019,1,Muğla Sıtkı Koçman Üniversitesi,20,SİLİVRİ,1
17535,2019,2,Kocaeli Üniversitesi,23,ZEYTİNBURNU,1
17536,2019,1,Aydın Adnan Menderes,22,PENDİK,2
17537,2019,1,Kocaeli Üniversitesi,19,ŞİŞLİ,1
17538,2020,1,Artvin Çoruh Üniversitesi,21,ARNAVUTKÖY,1
17539,2020,1,İstanbul Üniversitesi-Cerrahpaşa,21,EYÜPSULTAN,12
17540,2019,1,İstanbul Üniversitesi,22,ÇATALCA,1
17541,2019,2,İstanbul Medeniyet Üniversitesi,21,ÇEKMEKÖY,4
17542,2019,1,İnönü Üniversitesi,21,PENDİK,1
17543,2020,1,Üsküdar Üniversitesi,19,EYÜPSULTAN,1
17544,2020,1,Sağlık Bilimleri Üniversitesi,25,MALTEPE,2
17545,2020,1,Bursa Teknik Üniversitesi,21,SANCAKTEPE,1
17546,2020,1,İstanbul Arel Üniversitesi,19,BÜYÜKÇEKMECE,3
17547,2020,1,Marmara Üniversitesi,21,TUZLA,17
17548,2020,1,Necmettin Erbakan Üniversitesi,19,ATAŞEHİR,1
17549,2019,2,Ankara Hacı Bayram Veli Üniversitesi,19,KARTAL,1
17550,2019,2,Niğde Ömer Halisdemir,22,BAHÇELİEVLER,1
17551,2019,2,Çanakkale Onsekiz Mart Üniversitesi,22,EYÜPSULTAN,5
17552,2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,19,PENDİK,10
17553,2020,1,Bezm-İ Âlem Vakıf Üniversitesi,18,BAĞCILAR,2
17554,2019,1,İstanbul Üniversitesi-Cerrahpaşa,19,BÜYÜKÇEKMECE,5
17555,2020,1,Bursa Uludağ Üniversitesi,19,ÇEKMEKÖY,3
17556,2019,1,Trakya Üniversitesi,20,GAZİOSMANPAŞA,5
17557,2020,1,Fırat Üniversitesi,21,GAZİOSMANPAŞA,1
17558,2019,1,Marmara Üniversitesi,19,ARNAVUTKÖY,1
17559,2020,1,Gaziantep Üniversitesi,24,SULTANGAZİ,1
17560,2020,1,Dicle Üniversitesi,20,ZEYTİNBURNU,1
17561,2019,1,Nişantaşı Üniversitesi,21,FATİH,2
17562,2020,1,Selçuk Üniversitesi,22,ESENYURT,1
17563,2020,1,Selçuk Üniversitesi,21,KÜÇÜKÇEKMECE,3
17564,2020,1,Yıldız Teknik Üniversitesi,21,SULTANBEYLİ,2
17565,2019,1,Bahçeşehir Üniversitesi,19,ESENYURT,1
17566,2019,1,Karabük Üniversitesi,19,SULTANGAZİ,1
17567,2019,1,Bilecik Şeyh Edebali Üniversitesi,21,ZEYTİNBURNU,1
17568,2019,1,Burdur Mehmet Akif Ersoy Üniversitesi,21,GÜNGÖREN,1
17569,2019,1,Ankara Üniversitesi,22,SANCAKTEPE,2
17570,2020,1,Yıldız Teknik Üniversitesi,20,ÜSKÜDAR,8
17571,2019,1,Trakya Üniversitesi,23,BAĞCILAR,4
17572,2019,2,Boğaziçi Üniversitesi,22,KARTAL,1
17573,2019,2,Gaziantep Üniversitesi,23,KÜÇÜKÇEKMECE,1
17574,2019,1,İstanbul Bilgi Üniversitesi,20,SARIYER,1
17575,2019,1,Ege Üniversitesi,21,BÜYÜKÇEKMECE,1
17576,2019,1,Düzce Üniversitesi,19,TUZLA,1
17577,2020,1,Batman Üniversitesi,19,SULTANGAZİ,1
17578,2020,1,Düzce Üniversitesi,21,ESENYURT,6
17579,2019,2,Düzce Üniversitesi,23,BÜYÜKÇEKMECE,1
17580,2019,1,İstanbul Medipol Üniversitesi,23,ESENLER,1
17581,2019,1,Bursa Uludağ Üniversitesi,20,BEYLİKDÜZÜ,1
17582,2020,1,İstanbul Üniversitesi-Cerrahpaşa,22,SARIYER,8
17583,2019,2,Ondokuz Mayıs Üniversitesi,25,ESENYURT,1
17584,2019,2,Recep Tayyip Erdoğan,22,SULTANGAZİ,2
17585,2019,1,Sakarya Üniversitesi,20,SULTANBEYLİ,3
17586,2020,1,Mimar Sinan Güzel Sanatlar Üniversitesi,24,EYÜPSULTAN,2
17587,2019,1,Bolu Abant İzzet Baysal Üniversitesi,19,SULTANBEYLİ,2
17588,2020,1,Aydın Adnan Menderes,21,BEYOĞLU,2
17589,2019,1,Trakya Üniversitesi,21,ESENLER,8
17590,2020,1,Çanakkale Onsekiz Mart Üniversitesi,18,BAĞCILAR,2
17591,2019,2,Bursa Teknik Üniversitesi,19,BEYLİKDÜZÜ,1
17592,2020,1,Altınbaş Üniversitesi,19,ÜSKÜDAR,1
17593,2020,1,Kırklareli Üniversitesi,20,BAHÇELİEVLER,7
17594,2020,1,Yıldız Teknik Üniversitesi,25,BAĞCILAR,3
17595,2019,1,Karabük Üniversitesi,21,KARTAL,1
17596,2019,2,Yıldız Teknik Üniversitesi,23,BEYOĞLU,1
17597,2019,1,İstanbul Gelişim Üniversitesi,24,KÜÇÜKÇEKMECE,1
17598,2019,1,Kırklareli Üniversitesi,23,KAĞITHANE,1
17599,2019,2,Gebze Teknik Üniversitesi,22,ÇEKMEKÖY,1
17600,2019,2,İstanbul Üniversitesi,19,ESENYURT,1
17601,2020,1,Trabzon Üniversitesi,20,GÜNGÖREN,1
17602,2019,2,Mimar Sinan Güzel Sanatlar Üniversitesi,23,ÜSKÜDAR,2
17603,2019,2,Ege Üniversitesi,20,BÜYÜKÇEKMECE,2
17604,2020,1,Kocaeli Üniversitesi,20,FATİH,3
17605,2019,2,Düzce Üniversitesi,21,SULTANGAZİ,6
17606,2020,1,Dokuz Eylül Üniversitesi,21,ŞİŞLİ,1
17607,2020,1,Sinop Üniversitesi,21,BAHÇELİEVLER,1
17608,2020,1,Aydın Adnan Menderes,20,BÜYÜKÇEKMECE,1
17609,2020,1,Mef Üniversitesi,22,SULTANGAZİ,2
17610,2020,1,Kastamonu Üniversitesi,19,ESENYURT,2
17611,2020,1,İstanbul Sabahattin Zaim Üniversitesi,18,BAŞAKŞEHİR,1
17612,2019,2,Adıyaman Üniversitesi,23,AVCILAR,1
17613,2020,1,Sivas Cumhuriyet Üniversitesi,20,ESENLER,1
17614,2019,2,Yıldız Teknik Üniversitesi,21,SANCAKTEPE,2
17615,2019,2,İstanbul Teknik Üniversitesi,20,GÜNGÖREN,1
17616,2019,1,Balıkesir Üniversitesi,25,GAZİOSMANPAŞA,1
17617,2019,1,Balıkesir Üniversitesi,23,ESENYURT,2
17618,2020,1,İstanbul Medeniyet Üniversitesi,21,BEYLİKDÜZÜ,1
17619,2020,1,Kırşehir Ahi Evran Üniversitesi,20,BAHÇELİEVLER,1
17620,2020,1,Eskişehir Teknik Üniversitesi,21,PENDİK,3
17621,2020,1,İzmir Katip Çelebi Üniversitesi,19,PENDİK,1
17622,2019,2,Zonguldak Bülent Ecevit Üniversitesi,22,GAZİOSMANPAŞA,3
17623,2019,2,Kastamonu Üniversitesi,20,EYÜPSULTAN,1
17624,2019,1,Kocaeli Üniversitesi,24,ZEYTİNBURNU,1
17625,2020,1,Recep Tayyip Erdoğan,20,BAKIRKÖY,1
17626,2019,2,Hacettepe Üniversitesi,20,SİLİVRİ,1
17627,2020,1,Kocaeli Üniversitesi,25,PENDİK,2
17628,2019,2,Boğaziçi Üniversitesi,20,BAŞAKŞEHİR,1
17629,2019,1,Tekirdağ Namık Kemal,22,ÜSKÜDAR,1
17630,2020,1,Doğuş Üniversitesi,23,KARTAL,1
17631,2019,2,Atatürk Üniversitesi,22,KARTAL,1
17632,2020,1,İstanbul Rumeli Üniversitesi,19,BÜYÜKÇEKMECE,1
17633,2019,2,Bartın Üniversitesi,21,SARIYER,1
17634,2020,1,İnönü Üniversitesi,18,SANCAKTEPE,1
17635,2019,1,Kadir Has Üniversitesi,20,ATAŞEHİR,2
17636,2019,2,Sağlık Bilimleri Üniversitesi,22,KADIKÖY,1
17637,2019,1,Marmara Üniversitesi,19,ATAŞEHİR,2
17638,2019,2,İstanbul Arel Üniversitesi,20,ESENLER,1
17639,2019,1,Beykent Üniversitesi,20,ÜMRANİYE,1
17640,2019,2,Tekirdağ Namık Kemal,23,ARNAVUTKÖY,6
17641,2019,1,Yalova Üniversitesi,23,SİLİVRİ,1
17642,2019,2,İstanbul Üniversitesi,21,KADIKÖY,2
17643,2019,1,Aydın Adnan Menderes,23,SULTANGAZİ,1
17644,2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,20,SULTANGAZİ,3
17645,2019,1,Türk-Alman Üniversitesi,23,ÜMRANİYE,1
17646,2020,1,Sakarya Üniversitesi,20,KARTAL,14
17647,2020,1,İstanbul Gedik Üniversitesi,19,GAZİOSMANPAŞA,1
17648,2019,2,Sağlık Bilimleri Üniversitesi,21,BAHÇELİEVLER,8
17649,2020,1,Maltepe Üniversitesi,22,KADIKÖY,1
17650,2020,1,Necmettin Erbakan Üniversitesi,21,SULTANGAZİ,5
17651,2019,1,Sakarya Üniversitesi,19,ESENYURT,1
17652,2020,1,Atatürk Üniversitesi,19,KAĞITHANE,1
17653,2019,2,Sinop Üniversitesi,22,FATİH,1
17654,2020,1,Gebze Teknik Üniversitesi,24,SULTANBEYLİ,1
17655,2020,1,Atatürk Üniversitesi,21,BAHÇELİEVLER,1
17656,2020,1,Muğla Sıtkı Koçman Üniversitesi,21,SULTANGAZİ,2
17657,2019,1,Karabük Üniversitesi,20,ZEYTİNBURNU,1
17658,2020,1,Sakarya Üniversitesi,19,ZEYTİNBURNU,1
17659,2019,1,İstanbul Gelişim Üniversitesi,22,ZEYTİNBURNU,1
17660,2019,2,Boğaziçi Üniversitesi,22,FATİH,2
17661,2020,1,Anadolu Üniversitesi,23,BEYLİKDÜZÜ,1
17662,2019,2,Karabük Üniversitesi,20,KARTAL,2
17663,2019,2,Fenerbahçe Üniversitesi,20,ATAŞEHİR,1
17664,2020,1,Çukurova Üniversitesi,22,AVCILAR,1
17665,2019,1,Gazi Üniversitesi,21,ARNAVUTKÖY,1
17666,2020,1,Yıldız Teknik Üniversitesi,22,KADIKÖY,4
17667,2020,1,Bilecik Şeyh Edebali Üniversitesi,22,PENDİK,8
17668,2020,1,Beykoz Üniversitesi,19,ÜMRANİYE,2
17669,2019,2,Bilecik Şeyh Edebali Üniversitesi,22,BEYLİKDÜZÜ,1
17670,2019,2,Bilecik Şeyh Edebali Üniversitesi,20,BAĞCILAR,1
17671,2019,1,Uluslararası Kıbrıs Üniversitesi,21,BEYLİKDÜZÜ,1
17672,2020,1,Hacettepe Üniversitesi,21,ESENLER,3
17673,2019,1,İstanbul Kent Üniversitesi,20,GAZİOSMANPAŞA,1
17674,2019,1,Konya Teknik Üniversitesi,21,BAĞCILAR,1
17675,2019,1,İstanbul Arel Üniversitesi,19,MALTEPE,1
17676,2019,1,Beykent Üniversitesi,23,KÜÇÜKÇEKMECE,1
17677,2020,1,Burdur Mehmet Akif Ersoy Üniversitesi,21,ESENYURT,3
17678,2020,1,Hitit Üniversitesi,20,SULTANBEYLİ,1
17679,2019,1,Gazi Üniversitesi,22,GÜNGÖREN,1
17680,2020,1,Trakya Üniversitesi,24,BAYRAMPAŞA,3
17681,2019,2,Tekirdağ Namık Kemal,24,GÜNGÖREN,1
17682,2019,1,Bilecik Şeyh Edebali Üniversitesi,22,KARTAL,2
17683,2019,1,Yalova Üniversitesi,22,BAĞCILAR,1
17684,2020,1,İnönü Üniversitesi,20,BEYOĞLU,1
17685,2019,1,İstanbul Üniversitesi,21,MALTEPE,8
17686,2019,2,Nişantaşı Üniversitesi,22,ÜSKÜDAR,1
17687,2020,1,Kapadokya Üniversitesi,20,BAĞCILAR,1
17688,2019,2,İstanbul Aydın Üniversitesi,20,GÜNGÖREN,3
17689,2019,2,Muğla Sıtkı Koçman Üniversitesi,21,ÜSKÜDAR,1
17690,2020,1,İstanbul Üniversitesi,18,BEŞİKTAŞ,2
17691,2019,2,Sakarya Üniversitesi,19,BAHÇELİEVLER,1
17692,2020,1,Nişantaşı Üniversitesi,20,ARNAVUTKÖY,1
17693,2019,1,İstanbul Üniversitesi-Cerrahpaşa,22,TUZLA,1
17694,2019,1,Kırklareli Üniversitesi,21,EYÜPSULTAN,2
17695,2020,1,Tekirdağ Namık Kemal,19,KADIKÖY,1
17696,2020,1,Haliç Üniversitesi,18,MALTEPE,1
17697,2019,1,Dokuz Eylül Üniversitesi,20,ARNAVUTKÖY,1
17698,2019,1,Aydın Adnan Menderes,21,ARNAVUTKÖY,1
17699,2020,1,Tekirdağ Namık Kemal,25,ÜSKÜDAR,1
17700,2020,1,Recep Tayyip Erdoğan,23,BAHÇELİEVLER,1
17701,2019,2,Eskişehir Osmangazi Üniversitesi,19,BAYRAMPAŞA,1
17702,2019,2,Necmettin Erbakan Üniversitesi,25,ÜMRANİYE,1
17703,2020,1,Gümüşhane Üniversitesi,19,BAHÇELİEVLER,2
17704,2019,2,Erzincan Binali Yıldırım Üniversitesi,25,ESENYURT,1
17705,2020,1,Üsküdar Üniversitesi,18,SULTANGAZİ,2
17706,2020,1,Sakarya Üniversitesi,21,KÜÇÜKÇEKMECE,12
17707,2020,1,İstanbul Teknik Üniversitesi,21,ÜSKÜDAR,9
17708,2019,2,İstanbul Üniversitesi,20,BAHÇELİEVLER,11
17709,2019,1,Balıkesir Üniversitesi,19,ÜMRANİYE,2
17710,2019,1,Kocaeli Üniversitesi,21,GAZİOSMANPAŞA,4
17711,2020,1,Orta Doğu Teknik Üniversitesi,24,FATİH,1
17712,2020,1,Sakarya Üniversitesi,22,ŞİŞLİ,1
17713,2019,2,Beykoz Üniversitesi,19,ESENYURT,1
17714,2020,1,Mimar Sinan Güzel Sanatlar Üniversitesi,22,ÇEKMEKÖY,1
17715,2019,1,İstanbul Medipol Üniversitesi,20,ÜSKÜDAR,1
17716,2020,1,Yıldız Teknik Üniversitesi,23,ESENLER,13
17717,2019,1,Erzurum Teknik Üniversitesi,22,BAHÇELİEVLER,1
17718,2019,2,İstinye Üniversitesi,22,BAĞCILAR,1
17719,2019,2,Mardin Artuklu Üniversitesi,22,ŞİŞLİ,1
17720,2020,1,Bahçeşehir Üniversitesi,21,KÜÇÜKÇEKMECE,1
17721,2019,1,İstanbul Üniversitesi-Cerrahpaşa,19,FATİH,2
17722,2019,2,İstanbul Bilgi Üniversitesi,22,BAHÇELİEVLER,1
17723,2020,1,Alanya Alaaddin Keykubat Üniversitesi,20,PENDİK,1
17724,2020,1,Erciyes Üniversitesi,19,KÜÇÜKÇEKMECE,1
17725,2019,1,İstanbul Medipol Üniversitesi,23,BEŞİKTAŞ,1
17726,2019,2,İstanbul Üniversitesi-Cerrahpaşa,19,AVCILAR,2
17727,2020,1,Bayburt Üniversitesi,20,SULTANBEYLİ,1
17728,2020,1,Sivas Cumhuriyet Üniversitesi,19,ATAŞEHİR,1
17729,2019,2,Marmara Üniversitesi,22,KARTAL,8
17730,2020,1,Sakarya Üniversitesi,24,GAZİOSMANPAŞA,3
17731,2020,1,Muğla Sıtkı Koçman Üniversitesi,23,KARTAL,1
17732,2019,1,Balıkesir Üniversitesi,24,SULTANBEYLİ,1
17733,2019,1,İstanbul Medipol Üniversitesi,22,ÇATALCA,1
17734,2019,2,Karadeniz Teknik Üniversitesi,21,SANCAKTEPE,3
17735,2019,2,Eskişehir Osmangazi Üniversitesi,23,BEYLİKDÜZÜ,1
17736,2020,1,Bursa Uludağ Üniversitesi,20,SULTANGAZİ,4
17737,2020,1,Bolu Abant İzzet Baysal Üniversitesi,25,ÜMRANİYE,1
17738,2019,2,Karabük Üniversitesi,23,SULTANBEYLİ,3
17739,2019,2,Kastamonu Üniversitesi,20,SANCAKTEPE,1
17740,2020,1,Yalova Üniversitesi,26,KARTAL,1
17741,2020,1,Demiroğlu Bilim Üniversitesi,20,KAĞITHANE,1
17742,2020,1,İstanbul Medipol Üniversitesi,21,KARTAL,2
17743,2020,1,Muğla Sıtkı Koçman Üniversitesi,22,EYÜPSULTAN,3
17744,2019,1,İstanbul Teknik Üniversitesi,21,GÜNGÖREN,1
17745,2019,2,Zonguldak Bülent Ecevit Üniversitesi,21,SULTANBEYLİ,4
17746,2019,1,İstanbul Medeniyet Üniversitesi,20,TUZLA,1
17747,2020,1,Düzce Üniversitesi,18,BEYKOZ,1
17748,2019,2,Tekirdağ Namık Kemal,20,BEYOĞLU,1
17749,2020,1,Afyon Kocatepe Üniversitesi,20,BEYLİKDÜZÜ,1
17750,2020,1,Bartın Üniversitesi,20,SULTANBEYLİ,3
17751,2019,2,Marmara Üniversitesi,19,PENDİK,2
17752,2019,2,İstanbul Üniversitesi,22,GÜNGÖREN,5
17753,2020,1,Akdeniz Üniversitesi,25,BAHÇELİEVLER,1
17754,2019,2,İzmir Katip Çelebi Üniversitesi,20,ESENYURT,1
17755,2020,1,İstanbul Medipol Üniversitesi,24,SULTANBEYLİ,1
17756,2019,1,Yeditepe Üniversitesi,24,KÜÇÜKÇEKMECE,1
17757,2019,1,Eskişehir Teknik Üniversitesi,23,ŞİŞLİ,1
17758,2019,2,İstanbul Üniversitesi-Cerrahpaşa,22,GAZİOSMANPAŞA,11
17759,2019,2,Bursa Uludağ Üniversitesi,20,ÜSKÜDAR,2
17760,2020,1,İstanbul Üniversitesi-Cerrahpaşa,19,ESENLER,11
17761,2019,1,Ağrı İbrahim Çeçen Üniversitesi,21,AVCILAR,1
17762,2020,1,İstanbul Üniversitesi,19,BAŞAKŞEHİR,10
17763,2019,1,Demiroğlu Bilim Üniversitesi,22,SULTANGAZİ,2
17764,2020,1,Zonguldak Bülent Ecevit Üniversitesi,22,BAKIRKÖY,1
17765,2020,1,Tekirdağ Namık Kemal,18,SULTANBEYLİ,3
17766,2020,1,Bartın Üniversitesi,21,GAZİOSMANPAŞA,3
17767,2020,1,Kütahya Dumlupınar Üniversitesi,22,SULTANBEYLİ,4
17768,2020,1,Süleyman Demirel Üniversitesi,20,ATAŞEHİR,1
17769,2019,1,Yozgat Bozok Üniversitesi,21,KAĞITHANE,1
17770,2020,1,Dicle Üniversitesi,23,ESENYURT,1
17771,2019,2,Eskişehir Teknik Üniversitesi,21,AVCILAR,1
17772,2020,1,Çanakkale Onsekiz Mart Üniversitesi,24,ESENLER,1
17773,2019,1,Işık Üniversitesi,24,BEYLİKDÜZÜ,1
17774,2019,2,Altınbaş Üniversitesi,21,BÜYÜKÇEKMECE,1
17775,2020,1,Karadeniz Teknik Üniversitesi,25,BAĞCILAR,1
17776,2020,1,Işık Üniversitesi,23,ÇEKMEKÖY,1
17777,2019,1,Tekirdağ Namık Kemal,21,KAĞITHANE,6
17778,2019,1,Ankara Hacı Bayram Veli Üniversitesi,21,KAĞITHANE,1
17779,2020,1,Haliç Üniversitesi,22,BAĞCILAR,2
17780,2019,1,Kocaeli Üniversitesi,22,PENDİK,8
17781,2019,2,İstanbul Üniversitesi-Cerrahpaşa,23,PENDİK,2
17782,2019,1,Bolu Abant İzzet Baysal Üniversitesi,23,ZEYTİNBURNU,1
17783,2019,2,Kırşehir Ahi Evran Üniversitesi,22,KÜÇÜKÇEKMECE,1
17784,2020,1,Selçuk Üniversitesi,21,AVCILAR,1
17785,2020,1,Özyeğin Üniversitesi,21,ÇEKMEKÖY,2
17786,2019,1,Kastamonu Üniversitesi,25,TUZLA,1
17787,2020,1,Karabük Üniversitesi,23,EYÜPSULTAN,2
17788,2020,1,Biruni Üniversitesi,19,BAŞAKŞEHİR,1
17789,2019,2,Beykoz Üniversitesi,22,ESENLER,1
17790,2019,1,Trakya Üniversitesi,20,ÇATALCA,1
17791,2020,1,Kafkas Üniversitesi,21,BAYRAMPAŞA,1
17792,2019,2,Necmettin Erbakan Üniversitesi,22,SULTANBEYLİ,2
17793,2019,2,Ankara Hacı Bayram Veli Üniversitesi,23,ARNAVUTKÖY,1
17794,2019,2,Recep Tayyip Erdoğan,21,PENDİK,2
17795,2019,2,Aksaray Üniversitesi,22,ARNAVUTKÖY,1
17796,2019,1,Dokuz Eylül Üniversitesi,22,BAŞAKŞEHİR,1
17797,2019,2,Süleyman Demirel Üniversitesi,21,KÜÇÜKÇEKMECE,2
17798,2020,1,Pamukkale Üniversitesi,19,SULTANBEYLİ,1
17799,2020,1,Avrasya Üniversitesi,22,KARTAL,1
17800,2019,2,İstanbul Üniversitesi,22,ESENLER,9
17801,2020,1,İnönü Üniversitesi,22,BAHÇELİEVLER,4
17802,2019,2,Trakya Üniversitesi,23,SARIYER,1
17803,2019,1,Sivas Cumhuriyet Üniversitesi,24,ARNAVUTKÖY,1
17804,2020,1,Kocaeli Üniversitesi,19,SANCAKTEPE,6
17805,2020,1,İstanbul Üniversitesi-Cerrahpaşa,21,SANCAKTEPE,5
17806,2020,1,Pamukkale Üniversitesi,18,ESENYURT,2
17807,2019,1,Koç Üniversitesi,20,BAĞCILAR,1
17808,2020,1,Ankara Yıldırım Beyazıt Üniversitesi,19,BAKIRKÖY,1
17809,2019,2,Amasya Üniversitesi,21,SANCAKTEPE,1
17810,2019,2,Ankara Üniversitesi,22,FATİH,1
17811,2019,1,İstanbul Teknik Üniversitesi,24,BAKIRKÖY,1
17812,2020,1,Yalova Üniversitesi,22,ARNAVUTKÖY,3
17813,2020,1,Çankırı Karatekin Üniversitesi,20,KÜÇÜKÇEKMECE,1
17814,2019,2,Burdur Mehmet Akif Ersoy Üniversitesi,20,PENDİK,2
17815,2019,2,Pamukkale Üniversitesi,26,SULTANGAZİ,1
17816,2019,2,Düzce Üniversitesi,19,ARNAVUTKÖY,3
17817,2019,2,Ankara Üniversitesi,21,ZEYTİNBURNU,1
17818,2019,2,Muğla Sıtkı Koçman Üniversitesi,23,GAZİOSMANPAŞA,2
17819,2019,2,Gazi Üniversitesi,20,ARNAVUTKÖY,1
17820,2019,2,İstanbul Bilgi Üniversitesi,23,ATAŞEHİR,1
17821,2019,2,Tekirdağ Namık Kemal,19,BÜYÜKÇEKMECE,1
17822,2020,1,Pamukkale Üniversitesi,23,BAĞCILAR,1
17823,2019,1,Bursa Uludağ Üniversitesi,22,MALTEPE,2
17824,2019,1,Marmara Üniversitesi,22,EYÜPSULTAN,2
17825,2019,1,İstanbul Üniversitesi-Cerrahpaşa,21,ŞİŞLİ,2
17826,2020,1,Çanakkale Onsekiz Mart Üniversitesi,23,KADIKÖY,1
17827,2020,1,İstanbul Teknik Üniversitesi,21,ESENYURT,5
17828,2020,1,İnönü Üniversitesi,19,SARIYER,1
17829,2020,1,Ondokuz Mayıs Üniversitesi,23,ATAŞEHİR,1
17830,2020,1,Kırklareli Üniversitesi,22,ESENLER,10
17831,2019,1,Zonguldak Bülent Ecevit Üniversitesi,22,ATAŞEHİR,2
17832,2019,2,Biruni Üniversitesi,21,BAYRAMPAŞA,2
17833,2020,1,Bolu Abant İzzet Baysal Üniversitesi,18,FATİH,1
17834,2020,1,Ankara Üniversitesi,20,BAHÇELİEVLER,1
17835,2020,1,Sağlık Bilimleri Üniversitesi,19,BAŞAKŞEHİR,4
17836,2019,1,Kırklareli Üniversitesi,22,KAĞITHANE,1
17837,2020,1,Selçuk Üniversitesi,20,KÜÇÜKÇEKMECE,3
17838,2020,1,İstanbul Üniversitesi-Cerrahpaşa,24,BAHÇELİEVLER,8
17839,2019,1,Sakarya Uygulamalı Bilimler Üniversitesi,21,MALTEPE,2
17840,2019,1,Gaziantep Üniversitesi,21,SANCAKTEPE,1
17841,2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,26,PENDİK,1
17842,2019,2,Çanakkale Onsekiz Mart Üniversitesi,20,SULTANGAZİ,5
17843,2019,1,Boğaziçi Üniversitesi,22,FATİH,1
17844,2020,1,Piri Reis Üniversitesi,18,KAĞITHANE,2
17845,2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,21,BÜYÜKÇEKMECE,2
17846,2019,1,Lefke Avrupa Üniversitesi,22,ESENLER,1
17847,2019,1,Yalova Üniversitesi,20,BAŞAKŞEHİR,1
17848,2020,1,Yıldız Teknik Üniversitesi,19,ÜSKÜDAR,8
17849,2019,1,Erzincan Binali Yıldırım Üniversitesi,20,PENDİK,1
17850,2020,1,Trakya Üniversitesi,18,KARTAL,3
17851,2019,1,Ege Üniversitesi,22,ADALAR,1
17852,2019,1,Eskişehir Osmangazi Üniversitesi,20,SULTANGAZİ,1
17853,2019,2,Kırklareli Üniversitesi,20,BÜYÜKÇEKMECE,2
17854,2020,1,Dokuz Eylül Üniversitesi,22,ARNAVUTKÖY,3
17855,2019,2,Sivas Cumhuriyet Üniversitesi,23,PENDİK,2
17856,2019,2,İstanbul Üniversitesi-Cerrahpaşa,22,PENDİK,5
